STATEFP,STATE,NAME,name_origin
01,Alabama,Autauga,Native American origin
01,Alabama,Baldwin,other origin
01,Alabama,Barbour,other origin
01,Alabama,Bibb,other origin
01,Alabama,Blount,other origin
01,Alabama,Bullock,other origin
01,Alabama,Butler,other origin
01,Alabama,Calhoun,other origin
01,Alabama,Chambers,other origin
01,Alabama,Cherokee,Native American origin
01,Alabama,Chilton,other origin
01,Alabama,Choctaw,Native American origin
01,Alabama,Clarke,other origin
01,Alabama,Clay,other origin
01,Alabama,Cleburne,other origin
01,Alabama,Coffee,other origin
01,Alabama,Colbert,other origin
01,Alabama,Conecuh,Native American origin
01,Alabama,Coosa,Native American origin
01,Alabama,Covington,other origin
01,Alabama,Crenshaw,other origin
01,Alabama,Cullman,other origin
01,Alabama,Dale,other origin
01,Alabama,Dallas,other origin
01,Alabama,DeKalb,other origin
01,Alabama,Elmore,other origin
01,Alabama,Escambia,Native American origin
01,Alabama,Etowah,Native American origin
01,Alabama,Fayette,other origin
01,Alabama,Franklin,other origin
01,Alabama,Geneva,other origin
01,Alabama,Greene,other origin
01,Alabama,Hale,other origin
01,Alabama,Henry,other origin
01,Alabama,Houston,other origin
01,Alabama,Jackson,other origin
01,Alabama,Jefferson,other origin
01,Alabama,Lamar,other origin
01,Alabama,Lauderdale,other origin
01,Alabama,Lawrence,other origin
01,Alabama,Lee,other origin
01,Alabama,Limestone,other origin
01,Alabama,Lowndes,other origin
01,Alabama,Macon,other origin
01,Alabama,Madison,other origin
01,Alabama,Marengo,other origin
01,Alabama,Marion,other origin
01,Alabama,Marshall,other origin
01,Alabama,Mobile,Native American origin
01,Alabama,Monroe,other origin
01,Alabama,Montgomery,other origin
01,Alabama,Morgan,other origin
01,Alabama,Perry,other origin
01,Alabama,Pickens,other origin
01,Alabama,Pike,other origin
01,Alabama,Randolph,other origin
01,Alabama,Russell,other origin
01,Alabama,Shelby,other origin
01,Alabama,St. Clair,other origin
01,Alabama,Sumter,other origin
01,Alabama,Talladega,Native American origin
01,Alabama,Tallapoosa,Native American origin
01,Alabama,Tuscaloosa,Native American origin
01,Alabama,Walker,other origin
01,Alabama,Washington,other origin
01,Alabama,Wilcox,other origin
01,Alabama,Winston,other origin
02,Alaska,Aleutians East,Native American origin
02,Alaska,Aleutians West,Native American origin
02,Alaska,Anchorage,other origin
02,Alaska,Bethel,other origin
02,Alaska,Bristol Bay,other origin
02,Alaska,Denali,other origin
02,Alaska,Dillingham,other origin
02,Alaska,Fairbanks North Star,other origin
02,Alaska,Haines,other origin
02,Alaska,Hoonah-Angoon,other origin
02,Alaska,Juneau,other origin
02,Alaska,Kenai Peninsula,Native American origin
02,Alaska,Ketchikan Gateway,Native American origin
02,Alaska,Kodiak Island,Native American origin
02,Alaska,Kusilvak,other origin
02,Alaska,Lake and Peninsula,other origin
02,Alaska,Matanuska-Susitna,Native American origin
02,Alaska,Nome,other origin
02,Alaska,North Slope,other origin
02,Alaska,Northwest Arctic,other origin
02,Alaska,Petersburg,other origin
02,Alaska,Prince of Wales-Hyder,other origin
02,Alaska,Sitka,Native American origin
02,Alaska,Skagway,Native American origin
02,Alaska,Southeast Fairbanks,other origin
02,Alaska,Valdez-Cordova,other origin
02,Alaska,Wrangell,other origin
02,Alaska,Yakutat,Native American origin
02,Alaska,Yukon-Koyukuk,other origin
04,Arizona,Apache,Native American origin
04,Arizona,Cochise,Native American origin
04,Arizona,Coconino,Native American origin
04,Arizona,Gila,Native American origin
04,Arizona,Graham,other origin
04,Arizona,Greenlee,other origin
04,Arizona,La Paz,other origin
04,Arizona,Maricopa,Native American origin
04,Arizona,Mohave,Native American origin
04,Arizona,Navajo,Native American origin
04,Arizona,Pima,Native American origin
04,Arizona,Pinal,other origin
04,Arizona,Santa Cruz,other origin
04,Arizona,Yavapai,Native American origin
04,Arizona,Yuma,Native American origin
05,Arkansas,Arkansas,Native American origin
05,Arkansas,Ashley,other origin
05,Arkansas,Baxter,other origin
05,Arkansas,Benton,other origin
05,Arkansas,Boone,other origin
05,Arkansas,Bradley,other origin
05,Arkansas,Calhoun,other origin
05,Arkansas,Carroll,other origin
05,Arkansas,Chicot,other origin
05,Arkansas,Clark,other origin
05,Arkansas,Clay,other origin
05,Arkansas,Cleburne,other origin
05,Arkansas,Cleveland,other origin
05,Arkansas,Columbia,other origin
05,Arkansas,Conway,other origin
05,Arkansas,Craighead,other origin
05,Arkansas,Crawford,other origin
05,Arkansas,Crittenden,other origin
05,Arkansas,Cross,other origin
05,Arkansas,Dallas,other origin
05,Arkansas,Desha,other origin
05,Arkansas,Drew,other origin
05,Arkansas,Faulkner,other origin
05,Arkansas,Franklin,other origin
05,Arkansas,Fulton,other origin
05,Arkansas,Garland,other origin
05,Arkansas,Grant,other origin
05,Arkansas,Greene,other origin
05,Arkansas,Hempstead,other origin
05,Arkansas,Hot Spring,other origin
05,Arkansas,Howard,other origin
05,Arkansas,Independence,other origin
05,Arkansas,Izard,other origin
05,Arkansas,Jackson,other origin
05,Arkansas,Jefferson,other origin
05,Arkansas,Johnson,other origin
05,Arkansas,Lafayette,other origin
05,Arkansas,Lawrence,other origin
05,Arkansas,Lee,other origin
05,Arkansas,Lincoln,other origin
05,Arkansas,Little River,other origin
05,Arkansas,Logan,other origin
05,Arkansas,Lonoke,other origin
05,Arkansas,Madison,other origin
05,Arkansas,Marion,other origin
05,Arkansas,Miller,other origin
05,Arkansas,Mississippi,Native American origin
05,Arkansas,Monroe,other origin
05,Arkansas,Montgomery,other origin
05,Arkansas,Nevada,other origin
05,Arkansas,Newton,other origin
05,Arkansas,Ouachita,Native American origin
05,Arkansas,Perry,other origin
05,Arkansas,Phillips,other origin
05,Arkansas,Pike,other origin
05,Arkansas,Poinsett,other origin
05,Arkansas,Polk,other origin
05,Arkansas,Pope,other origin
05,Arkansas,Prairie,other origin
05,Arkansas,Pulaski,other origin
05,Arkansas,Randolph,other origin
05,Arkansas,Saline,other origin
05,Arkansas,Scott,other origin
05,Arkansas,Searcy,other origin
05,Arkansas,Sebastian,other origin
05,Arkansas,Sevier,other origin
05,Arkansas,Sharp,other origin
05,Arkansas,St. Francis,other origin
05,Arkansas,Stone,other origin
05,Arkansas,Union,other origin
05,Arkansas,Van Buren,other origin
05,Arkansas,Washington,other origin
05,Arkansas,White,other origin
05,Arkansas,Woodruff,other origin
05,Arkansas,Yell,other origin
06,California,Alameda,other origin
06,California,Alpine,other origin
06,California,Amador,other origin
06,California,Butte,other origin
06,California,Calaveras,other origin
06,California,Colusa,other origin
06,California,Contra Costa,other origin
06,California,Del Norte,other origin
06,California,El Dorado,other origin
06,California,Fresno,other origin
06,California,Glenn,other origin
06,California,Humboldt,other origin
06,California,Imperial,other origin
06,California,Inyo,Native American origin
06,California,Kern,other origin
06,California,Kings,other origin
06,California,Lake,other origin
06,California,Lassen,other origin
06,California,Los Angeles,other origin
06,California,Madera,other origin
06,California,Marin,Native American origin
06,California,Mariposa,other origin
06,California,Mendocino,other origin
06,California,Merced,other origin
06,California,Modoc,Native American origin
06,California,Mono,Native American origin
06,California,Monterey,other origin
06,California,Napa,Native American origin
06,California,Nevada,other origin
06,California,Orange,other origin
06,California,Placer,other origin
06,California,Plumas,other origin
06,California,Riverside,other origin
06,California,Sacramento,other origin
06,California,San Benito,other origin
06,California,San Bernardino,other origin
06,California,San Diego,other origin
06,California,San Francisco,other origin
06,California,San Joaquin,other origin
06,California,San Luis Obispo,other origin
06,California,San Mateo,other origin
06,California,Santa Barbara,other origin
06,California,Santa Clara,other origin
06,California,Santa Cruz,other origin
06,California,Shasta,Native American origin
06,California,Sierra,other origin
06,California,Siskiyou,Native American origin
06,California,Solano,Native American origin
06,California,Sonoma,Native American origin
06,California,Stanislaus,other origin
06,California,Sutter,other origin
06,California,Tehama,Native American origin
06,California,Trinity,other origin
06,California,Tulare,other origin
06,California,Tuolumne,Native American origin
06,California,Ventura,other origin
06,California,Yolo,Native American origin
06,California,Yuba,other origin
08,Colorado,Adams,other origin
08,Colorado,Alamosa,other origin
08,Colorado,Arapahoe,Native American origin
08,Colorado,Archuleta,other origin
08,Colorado,Baca,other origin
08,Colorado,Bent,other origin
08,Colorado,Boulder,other origin
08,Colorado,Broomfield,other origin
08,Colorado,Chaffee,other origin
08,Colorado,Cheyenne,Native American origin
08,Colorado,Clear Creek,other origin
08,Colorado,Conejos,other origin
08,Colorado,Costilla,other origin
08,Colorado,Crowley,other origin
08,Colorado,Custer,other origin
08,Colorado,Delta,other origin
08,Colorado,Denver,other origin
08,Colorado,Dolores,other origin
08,Colorado,Douglas,other origin
08,Colorado,Eagle,other origin
08,Colorado,El Paso,other origin
08,Colorado,Elbert,other origin
08,Colorado,Fremont,other origin
08,Colorado,Garfield,other origin
08,Colorado,Gilpin,other origin
08,Colorado,Grand,other origin
08,Colorado,Gunnison,other origin
08,Colorado,Hinsdale,other origin
08,Colorado,Huerfano,other origin
08,Colorado,Jackson,other origin
08,Colorado,Jefferson,other origin
08,Colorado,Kiowa,Native American origin
08,Colorado,Kit Carson,other origin
08,Colorado,La Plata,other origin
08,Colorado,Lake,other origin
08,Colorado,Larimer,other origin
08,Colorado,Las Animas,other origin
08,Colorado,Lincoln,other origin
08,Colorado,Logan,other origin
08,Colorado,Mesa,other origin
08,Colorado,Mineral,other origin
08,Colorado,Moffat,other origin
08,Colorado,Montezuma,Native American origin
08,Colorado,Montrose,other origin
08,Colorado,Morgan,other origin
08,Colorado,Otero,other origin
08,Colorado,Ouray,Native American origin
08,Colorado,Park,other origin
08,Colorado,Phillips,other origin
08,Colorado,Pitkin,other origin
08,Colorado,Prowers,other origin
08,Colorado,Pueblo,other origin
08,Colorado,Rio Blanco,other origin
08,Colorado,Rio Grande,other origin
08,Colorado,Routt,other origin
08,Colorado,Saguache,Native American origin
08,Colorado,San Juan,other origin
08,Colorado,San Miguel,other origin
08,Colorado,Sedgwick,other origin
08,Colorado,Summit,other origin
08,Colorado,Teller,other origin
08,Colorado,Washington,other origin
08,Colorado,Weld,other origin
08,Colorado,Yuma,Native American origin
09,Connecticut,Fairfield,other origin
09,Connecticut,Hartford,other origin
09,Connecticut,Litchfield,other origin
09,Connecticut,Middlesex,other origin
09,Connecticut,New Haven,other origin
09,Connecticut,New London,other origin
09,Connecticut,Tolland,other origin
09,Connecticut,Windham,other origin
10,Delaware,Kent,other origin
10,Delaware,New Castle,other origin
10,Delaware,Sussex,other origin
11,District of Columbia,District of Columbia,other origin
12,Florida,Alachua,Native American origin
12,Florida,Baker,other origin
12,Florida,Bay,other origin
12,Florida,Bradford,other origin
12,Florida,Brevard,other origin
12,Florida,Broward,other origin
12,Florida,Calhoun,other origin
12,Florida,Charlotte,other origin
12,Florida,Citrus,other origin
12,Florida,Clay,other origin
12,Florida,Collier,other origin
12,Florida,Columbia,other origin
12,Florida,DeSoto,other origin
12,Florida,Dixie,other origin
12,Florida,Duval,other origin
